Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
SC0,29/01/17,Celtic,Hearts,4,0,1,0,16,5,6,1,0,1,0,0,H
SC0,31/01/17,Hamilton,Inverness C,3,0,1,0,10,9,3,5,3,2,0,0,H
SC0,31/01/17,Ross County,Motherwell,1,2,1,1,11,9,4,2,1,2,0,0,A
SC0,01/02/17,Celtic,Aberdeen,1,0,0,0,7,5,1,2,1,3,0,0,H
SC0,01/02/17,Hearts,Rangers,4,1,1,1,16,7,7,3,2,1,0,0,H
SC0,01/02/17,Partick,St Johnstone,0,1,0,1,12,5,6,1,1,2,1,0,A
SC0,04/02/17,Aberdeen,Partick,2,0,0,0,11,5,9,1,2,0,0,0,H
SC0,04/02/17,Hamilton,Kilmarnock,1,1,1,1,6,6,1,2,2,2,0,0,D
SC0,04/02/17,Inverness C,Dundee,2,2,0,2,13,12,10,3,2,3,0,0,D
SC0,04/02/17,Motherwell,Hearts,0,3,0,0,4,18,1,7,3,3,1,0,A
SC0,04/02/17,Rangers,Ross County,1,1,0,1,22,9,6,3,3,2,0,0,D
SC0,05/02/17,St Johnstone,Celtic,2,5,2,1,5,17,1,12,2,1,0,0,A
SC0,11/02/17,Dundee,Kilmarnock,1,1,1,1,11,9,5,4,2,3,0,0,D
SC0,15/02/17,Aberdeen,Motherwell,7,2,4,0,22,4,12,2,2,1,0,0,H
SC0,18/02/17,Celtic,Motherwell,2,0,2,0,15,6,5,1,0,1,0,0,H
SC0,18/02/17,Hearts,Inverness C,1,1,0,1,20,7,8,2,0,3,0,0,D
SC0,18/02/17,Partick,Hamilton,2,0,0,0,8,7,4,1,1,3,0,0,H
SC0,18/02/17,Ross County,St Johnstone,1,2,0,1,10,12,3,7,1,0,0,0,A
SC0,19/02/17,Dundee,Rangers,2,1,2,0,10,8,4,5,1,1,0,0,H
SC0,19/02/17,Kilmarnock,Aberdeen,1,2,1,0,5,13,1,4,2,2,0,0,A
SC0,24/02/17,Inverness C,Rangers,2,1,1,0,10,16,6,6,2,2,0,0,H
SC0,25/02/17,Aberdeen,Ross County,1,0,0,0,18,8,8,3,1,1,0,0,H
SC0,25/02/17,Celtic,Hamilton,2,0,1,0,10,5,3,1,0,4,0,0,H
SC0,25/02/17,Motherwell,Dundee,1,5,1,5,7,12,4,5,3,1,0,0,A
SC0,25/02/17,Partick,Hearts,2,0,1,0,7,10,4,1,3,1,0,1,H
SC0,25/02/17,St Johnstone,Kilmarnock,0,2,0,1,7,10,1,6,2,0,0,0,A
SC0,28/02/17,Hamilton,Aberdeen,1,0,1,0,3,15,2,3,1,1,1,0,H
SC0,01/03/17,Dundee,Partick,0,1,0,1,8,6,3,3,0,2,0,0,A
SC0,01/03/17,Hearts,Ross County,0,1,0,0,15,10,6,4,1,2,0,0,A
SC0,01/03/17,Inverness C,Celtic,0,4,0,1,3,21,2,9,1,0,0,0,A
SC0,01/03/17,Rangers,St Johnstone,3,2,1,0,24,9,11,4,2,3,1,0,H
SC0,04/03/17,Kilmarnock,Motherwell,1,2,1,0,20,8,5,5,0,4,0,0,A
SC0,11/03/17,Aberdeen,Motherwell,1,0,0,0,14,6,6,0,1,6,0,0,H
SC0,11/03/17,Hearts,Hamilton,4,0,1,0,17,5,11,2,0,3,0,0,H
SC0,11/03/17,Partick,Inverness C,1,1,0,0,8,12,3,2,1,2,0,0,D
SC0,11/03/17,Ross County,Kilmarnock,1,2,0,0,16,5,7,2,4,3,0,0,A
SC0,11/03/17,St Johnstone,Dundee,2,0,2,0,16,5,7,1,1,3,0,0,H
SC0,12/03/17,Celtic,Rangers,1,1,1,0,11,8,7,5,2,4,0,0,D
SC0,18/03/17,Aberdeen,Hearts,2,0,1,0,17,5,6,3,1,3,1,0,H
SC0,18/03/17,Inverness C,Ross County,1,1,0,0,9,9,3,2,1,1,0,0,D
SC0,18/03/17,Kilmarnock,Partick,1,1,0,0,10,14,3,3,1,0,0,0,D
SC0,18/03/17,Motherwell,St Johnstone,1,2,1,1,16,15,5,6,0,1,0,0,A
SC0,18/03/17,Rangers,Hamilton,4,0,2,0,10,4,6,2,2,2,0,0,H
SC0,19/03/17,Dundee,Celtic,1,2,0,1,5,8,2,2,4,3,0,0,A
SC0,31/03/17,Dundee,Aberdeen,0,7,0,4,5,18,1,9,1,0,0,0,A
SC0,01/04/17,Hamilton,St Johnstone,1,0,0,0,17,3,4,2,2,1,0,2,H
SC0,01/04/17,Inverness C,Kilmarnock,1,1,1,1,11,16,6,7,1,1,0,0,D
SC0,01/04/17,Partick,Ross County,2,1,0,0,12,8,7,3,3,1,0,0,H
SC0,01/04/17,Rangers,Motherwell,1,1,0,1,14,12,4,5,2,4,0,0,D
SC0,02/04/17,Hearts,Celtic,0,5,0,2,8,9,4,6,3,3,0,0,A
SC0,04/04/17,Aberdeen,Inverness C,1,0,1,0,16,7,3,4,0,2,0,0,H
SC0,04/04/17,Ross County,Dundee,2,1,1,1,13,6,2,3,2,2,1,1,H
SC0,05/04/17,Celtic,Partick,1,1,0,0,16,6,5,2,1,3,0,0,D
SC0,05/04/17,Kilmarnock,Rangers,0,0,0,0,7,19,2,6,4,2,0,0,D
SC0,05/04/17,Motherwell,Hamilton,0,0,0,0,17,10,3,6,1,2,0,1,D
SC0,05/04/17,St Johnstone,Hearts,1,0,0,0,11,11,5,1,1,4,0,1,H
SC0,08/04/17,Celtic,Kilmarnock,3,1,1,0,14,3,6,1,2,2,0,0,H
SC0,08/04/17,Hamilton,Ross County,1,1,1,0,9,12,4,3,3,0,1,0,D
SC0,08/04/17,Hearts,Dundee,1,0,1,0,12,3,5,0,0,1,0,0,H
SC0,08/04/17,Inverness C,St Johnstone,0,3,0,1,15,13,5,5,0,1,1,0,A
SC0,08/04/17,Partick,Motherwell,1,0,1,0,7,8,1,1,0,0,0,0,H
SC0,09/04/17,Aberdeen,Rangers,0,3,0,0,10,10,5,6,3,2,0,0,A
SC0,14/04/17,Kilmarnock,Hearts,0,0,0,0,8,10,0,4,0,2,0,0,D
SC0,15/04/17,Dundee,Hamilton,0,2,0,1,8,15,3,4,0,1,0,0,A
SC0,15/04/17,Motherwell,Inverness C,4,2,2,1,18,17,11,10,0,1,0,0,H
SC0,15/04/17,Rangers,Partick,2,0,1,0,22,4,10,2,0,2,0,0,H
SC0,15/04/17,St Johnstone,Aberdeen,1,2,0,2,7,7,3,2,3,1,0,0,A
SC0,16/04/17,Ross County,Celtic,2,2,0,1,5,11,5,6,4,1,0,1,D
SC0,28/04/17,Ross County,Inverness C,4,0,2,0,12,5,6,2,2,1,0,1,H
SC0,29/04/17,Aberdeen,St Johnstone,0,2,0,0,13,8,1,4,3,3,0,0,A
SC0,29/04/17,Hamilton,Kilmarnock,0,2,0,2,11,6,1,2,1,3,0,0,A
SC0,29/04/17,Hearts,Partick,2,2,0,0,26,8,11,6,1,3,0,1,D
SC0,29/04/17,Motherwell,Dundee,2,3,0,1,11,7,4,5,1,2,0,0,A
SC0,29/04/17,Rangers,Celtic,1,5,0,2,7,17,1,7,2,2,0,0,A
SC0,06/05/17,Celtic,St Johnstone,4,1,0,0,28,4,11,1,1,4,0,0,H
