Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR
D1,09/11/2022,Schalke 04,Mainz,1,0,1,0,13,11,4,1,3,1,0,0,H
D1,09/11/2022,Union Berlin,Augsburg,2,2,2,2,18,7,6,2,1,4,0,0,D
D1,11/11/2022,M'gladbach,Dortmund,4,2,3,2,11,20,6,10,1,2,0,0,H
D1,12/11/2022,Augsburg,Bochum,0,1,0,0,19,11,5,4,1,1,0,0,A
D1,12/11/2022,Hertha,FC Koln,2,0,1,0,17,10,8,2,3,1,0,0,H
D1,12/11/2022,Hoffenheim,Wolfsburg,1,2,1,1,22,6,8,3,0,3,0,0,A
D1,12/11/2022,Leverkusen,Stuttgart,2,0,1,0,11,7,3,1,2,3,0,0,H
D1,12/11/2022,Werder Bremen,RB Leipzig,1,2,0,1,7,14,5,3,1,2,0,0,A
D1,12/11/2022,Schalke 04,Bayern Munich,0,2,0,1,6,22,2,6,0,0,0,0,A
D1,13/11/2022,Mainz,Ein Frankfurt,1,1,1,0,19,10,6,3,2,2,0,0,D
D1,13/11/2022,Freiburg,Union Berlin,4,1,4,0,7,4,5,2,0,1,0,1,H
D1,20/01/2023,RB Leipzig,Bayern Munich,1,1,0,1,10,7,3,2,2,3,0,0,D
D1,21/01/2023,Bochum,Hertha,3,1,2,0,10,10,3,2,1,1,0,0,H
D1,21/01/2023,Ein Frankfurt,Schalke 04,3,0,1,0,11,18,3,4,2,3,0,0,H
D1,21/01/2023,Stuttgart,Mainz,1,1,1,1,16,12,4,2,1,3,0,0,D
D1,21/01/2023,Union Berlin,Hoffenheim,3,1,0,1,23,10,5,5,2,1,0,0,H
D1,21/01/2023,Wolfsburg,Freiburg,6,0,3,0,13,9,11,1,1,2,0,0,H
D1,21/01/2023,FC Koln,Werder Bremen,7,1,5,1,15,4,7,2,0,0,0,0,H
D1,22/01/2023,Dortmund,Augsburg,4,3,2,2,27,14,10,4,1,4,0,0,H
