,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
5559,2013-04-23,41200162,Final,1610612743,1610612744,2012,1610612743,117.0,0.5,0.757,0.346,27.0,26.0,1610612744,131.0,0.6459999999999999,0.75,0.56,26.0,36.0,0
5560,2013-04-22,41200132,Final,1610612751,1610612741,2012,1610612751,82.0,0.354,0.87,0.19,22.0,39.0,1610612741,90.0,0.481,0.565,0.25,21.0,44.0,0
5561,2013-04-22,41200172,Final,1610612746,1610612763,2012,1610612746,93.0,0.474,0.773,0.133,19.0,40.0,1610612763,91.0,0.452,0.6759999999999999,0.182,16.0,38.0,1
5562,2013-04-21,41200121,Final,1610612754,1610612737,2012,1610612754,107.0,0.449,0.882,0.368,23.0,48.0,1610612737,90.0,0.5,0.5,0.412,23.0,32.0,1
5563,2013-04-21,41200151,Final,1610612759,1610612747,2012,1610612759,91.0,0.376,0.8,0.318,20.0,43.0,1610612747,79.0,0.411,0.667,0.2,15.0,44.0,1
5564,2013-04-21,41200101,Final,1610612748,1610612749,2012,1610612748,110.0,0.5589999999999999,0.818,0.304,22.0,46.0,1610612749,87.0,0.415,0.6,0.2689999999999999,14.0,31.0,1
5565,2013-04-21,41200141,Final,1610612760,1610612745,2012,1610612760,120.0,0.53,0.7859999999999999,0.417,28.0,46.0,1610612745,91.0,0.363,0.708,0.222,17.0,39.0,1
5566,2013-04-20,41200111,Final,1610612752,1610612738,2012,1610612752,85.0,0.405,0.8,0.36,13.0,40.0,1610612738,78.0,0.415,1.0,0.25,18.0,40.0,1
5567,2013-04-20,41200161,Final,1610612743,1610612744,2012,1610612743,97.0,0.447,0.643,0.188,16.0,45.0,1610612744,95.0,0.413,0.733,0.364,27.0,55.0,1
5568,2013-04-20,41200131,Final,1610612751,1610612741,2012,1610612751,106.0,0.5579999999999999,0.8240000000000001,0.429,18.0,39.0,1610612741,89.0,0.474,0.682,0.25,15.0,35.0,1
5569,2013-04-20,41200171,Final,1610612746,1610612763,2012,1610612746,112.0,0.5539999999999999,0.742,0.368,20.0,47.0,1610612763,91.0,0.465,0.8,0.417,22.0,23.0,1
5570,2013-04-17,21201216,Final,1610612761,1610612738,2012,1610612761,114.0,0.5,0.7859999999999999,0.5710000000000001,26.0,46.0,1610612738,90.0,0.44,0.6920000000000001,0.412,19.0,38.0,1
5571,2013-04-17,21201217,Final,1610612751,1610612765,2012,1610612751,103.0,0.481,0.7390000000000001,0.3329999999999999,28.0,38.0,1610612765,99.0,0.474,0.75,0.077,17.0,39.0,1
5572,2013-04-17,21201218,Final,1610612752,1610612737,2012,1610612752,98.0,0.429,0.688,0.375,21.0,50.0,1610612737,92.0,0.411,0.941,0.095,14.0,53.0,1
5573,2013-04-17,21201219,Final,1610612766,1610612739,2012,1610612766,105.0,0.507,0.767,0.4,28.0,40.0,1610612739,98.0,0.488,0.667,0.348,24.0,35.0,1
5574,2013-04-17,21201220,Final,1610612748,1610612753,2012,1610612748,105.0,0.5379999999999999,0.474,0.414,31.0,34.0,1610612753,93.0,0.519,0.44,0.143,23.0,41.0,1
5575,2013-04-17,21201221,Final,1610612754,1610612755,2012,1610612754,95.0,0.45,0.63,0.231,17.0,42.0,1610612755,105.0,0.506,0.7859999999999999,0.421,16.0,42.0,0
