,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HY,AY,HR,AR,FTR,Gol_Average_Home,Dif_Home,Rojas_Home,Puntos_Home,Goles_Marcados_Home,Gol_Average_Away,Dif_Away,Rojas_Away,Puntos_Away,Goles_Marcados_Away
204,SP1,21/01/2024,Betis,Barcelona,2,4,0,1,14,11,5,4,1,2,0,0,A,0.1,0.04736842105263159,0.1,31.0,1.1,0.7368421052631579,0.014619883040935644,0.05263157894736842,41.0,1.894736842105263
205,SP1,21/01/2024,Girona,Sevilla,5,1,3,1,12,9,8,3,0,2,0,0,H,1.1,-0.05789473684210522,0.05,49.0,2.3,-0.25,-0.03947368421052633,0.15,16.0,1.25
206,SP1,22/01/2024,Granada,Ath Madrid,0,1,0,0,17,10,2,5,2,2,1,0,A,-0.95,-0.0026315789473684292,0.1,11.0,1.1,0.8421052631578947,-0.10233918128654973,0.15789473684210525,38.0,2.0526315789473686
207,SP1,26/01/2024,Almeria,Alaves,0,3,0,1,19,11,7,3,1,2,0,0,A,-1.1904761904761905,0.00952380952380949,0.047619047619047616,6.0,1.0,-0.38095238095238093,0.06904761904761908,0.047619047619047616,23.0,0.9047619047619048
208,SP1,27/01/2024,Sociedad,Vallecano,0,0,0,0,6,5,3,0,2,4,0,0,D,0.5238095238095238,0.023809523809523836,0.047619047619047616,35.0,1.5238095238095237,-0.4,-0.08421052631578951,0.15,23.0,0.9
209,SP1,27/01/2024,Las Palmas,Real Madrid,1,2,0,0,7,13,2,5,3,3,0,0,A,0.19047619047619047,0.09047619047619046,0.09523809523809523,31.0,1.0,1.5,-0.026315789473684292,0.1,51.0,2.15
210,SP1,27/01/2024,Barcelona,Villarreal,3,5,0,1,22,9,10,6,3,4,0,0,A,0.8,0.06315789473684219,0.05,44.0,2.0,-0.6666666666666666,0.033333333333333326,0.19047619047619047,20.0,1.3333333333333333
211,SP1,27/01/2024,Mallorca,Betis,0,1,0,1,14,8,1,2,2,1,0,0,A,-0.2857142857142857,0.01428571428571429,0.09523809523809523,20.0,0.9047619047619048,0.0,-0.1,0.09523809523809523,31.0,1.1428571428571428
212,SP1,28/01/2024,Celta,Girona,0,1,0,1,10,15,5,6,1,1,0,0,A,-0.47619047619047616,-0.026190476190476153,0.19047619047619047,17.0,1.0,1.2380952380952381,0.13809523809523805,0.047619047619047616,52.0,2.4285714285714284
213,SP1,28/01/2024,Cadiz,Ath Bilbao,0,0,0,0,9,8,2,0,4,2,0,0,D,-0.7619047619047619,-0.011904761904761862,0.2857142857142857,15.0,0.7142857142857143,0.8095238095238095,-0.09047619047619049,0.09523809523809523,41.0,1.8095238095238095
