Tournament,Date,Series,Court,Surface,Round,P,S,PRank,SRank,PPts,SPts,P1,S1,P2,S2,P3,S3,P4,S4,P5,S5,Psets,Ssets,Gana_P
US Open,02/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Hurkacz H.,Davidovich Fokina A.,33.0,99.0,1353.0,627.0,4.0,6.0,6.0,1.0,2.0,6.0,2.0,6.0,,,1.0,3.0,0.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Coria F.,Norrie C.,103.0,76.0,569.0,727.0,3.0,6.0,4.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Krueger M.,Carreno Busta P.,198.0,27.0,264.0,1500.0,1.0,6.0,2.0,6.0,2.0,6.0,,,,,0.0,3.0,0.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Fritz T.,Simon G.,25.0,52.0,1545.0,970.0,7.0,5.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,1.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Londero J.I.,Coric B.,62.0,32.0,832.0,1355.0,5.0,7.0,6.0,4.0,7.0,6.0,2.0,6.0,3.0,6.0,2.0,3.0,0.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Johnson S.,Berankis R.,64.0,65.0,825.0,809.0,5.0,7.0,2.0,6.0,6.0,1.0,6.0,7.0,,,1.0,3.0,0.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Shapovalov D.,Kwon S.W.,17.0,73.0,2075.0,742.0,6.0,7.0,6.0,4.0,6.0,4.0,6.0,2.0,,,3.0,1.0,1.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Cressy M.,Tsitsipas S.,168.0,6.0,320.0,5095.0,6.0,7.0,3.0,6.0,4.0,6.0,,,,,0.0,3.0,0.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Kecmanovic M.,Bautista Agut R.,47.0,11.0,1028.0,2540.0,3.0,6.0,6.0,3.0,3.0,6.0,4.0,6.0,,,1.0,3.0,0.0
US Open,03/09/2020,Grand Slam,Outdoor,Hard,2nd Round,Gasquet R.,De Minaur A.,51.0,28.0,985.0,1485.0,4.0,6.0,3.0,6.0,7.0,6.0,5.0,7.0,,,1.0,3.0,0.0
