,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,labeled Home,labeled Away,Basket_Average_Home,Dif_Home,Basket_Average_Away,Dif_Away
6584,596,2022-04-25,42100135,Final,1610612755,1610612761,2021,1610612755,88.0,0.383,0.8,0.27,21.0,37.0,1610612761,103.0,0.512,0.846,0.258,24.0,40.0,0,18,24,-2.5714285714285694,-1.2380952380952408,8.0,8.0
6583,597,2022-04-25,42100175,Final,1610612742,1610612762,2021,1610612742,102.0,0.435,0.762,0.279,16.0,49.0,1610612762,77.0,0.377,0.762,0.1,12.0,40.0,1,5,25,-2.07692307692308,0.006410256410248394,11.0,11.0
6582,598,2022-04-24,42100124,Final,1610612741,1610612749,2021,1610612741,95.0,0.389,0.941,0.25,27.0,44.0,1610612749,119.0,0.523,0.667,0.515,21.0,51.0,0,4,12,4.0,4.0,-3.5,1.7857142857142776
6581,599,2022-04-24,42100164,Final,1610612743,1610612744,2021,1610612743,126.0,0.562,0.806,0.484,28.0,33.0,1610612744,121.0,0.5,0.719,0.353,26.0,36.0,1,6,7,6.0,6.0,10.388888888888886,-0.022875816993476406
6580,600,2022-04-24,42100104,Final,1610612737,1610612748,2021,1610612737,86.0,0.4,0.55,0.357,18.0,41.0,1610612748,110.0,0.435,0.81,0.31,22.0,48.0,0,0,11,-6.0,-6.0,-3.4285714285714306,0.1868131868131826
6579,601,2022-04-24,42100144,Final,1610612740,1610612756,2021,1610612740,118.0,0.471,0.762,0.25,20.0,48.0,1610612756,103.0,0.506,0.667,0.259,33.0,39.0,1,3,19,-7.5,-3.5,-13.0,2.75
6578,602,2022-04-23,42100134,Final,1610612761,1610612755,2021,1610612761,110.0,0.42,0.8,0.235,19.0,46.0,1610612755,102.0,0.425,0.84,0.419,24.0,41.0,1,24,18,-3.0,-11.0,-6.5,-3.9285714285714306
6577,603,2022-04-23,42100174,Final,1610612762,1610612742,2021,1610612762,100.0,0.405,0.619,0.286,17.0,46.0,1610612742,99.0,0.429,0.783,0.341,15.0,43.0,1,25,5,14.5,3.5,-3.0,-0.9230769230769198
6576,604,2022-04-23,42100113,Final,1610612751,1610612738,2021,1610612751,103.0,0.506,0.813,0.414,25.0,33.0,1610612738,109.0,0.5,0.929,0.308,26.0,34.0,0,14,1,8.0,8.0,8.666666666666671,0.11666666666667425
6575,605,2022-04-23,42100154,Final,1610612750,1610612763,2021,1610612750,119.0,0.473,0.775,0.5,23.0,34.0,1610612763,118.0,0.488,0.76,0.469,31.0,39.0,1,13,26,12.5,3.5,9.5,-0.2142857142857082
6574,606,2022-04-22,42100103,Final,1610612737,1610612748,2021,1610612737,111.0,0.513,0.81,0.375,23.0,36.0,1610612748,110.0,0.441,0.824,0.311,30.0,45.0,1,0,11,5.0,11.0,-3.0,0.4285714285714306
6573,607,2022-04-22,42100123,Final,1610612741,1610612749,2021,1610612741,81.0,0.393,0.6,0.265,22.0,43.0,1610612749,111.0,0.473,0.714,0.366,27.0,55.0,0,4,12,-21.5,-25.5,-3.8888888888888857,-0.38888888888888573
6572,608,2022-04-22,42100143,Final,1610612740,1610612756,2021,1610612740,111.0,0.481,0.774,0.344,17.0,45.0,1610612756,114.0,0.506,0.815,0.154,26.0,35.0,0,3,19,-0.6666666666666572,6.833333333333343,-12.400000000000006,0.5999999999999943
6571,609,2022-04-21,42100153,Final,1610612750,1610612763,2021,1610612750,95.0,0.388,0.739,0.343,21.0,41.0,1610612763,104.0,0.422,0.645,0.378,22.0,48.0,0,13,26,-2.3333333333333286,-14.833333333333329,7.444444444444443,-2.055555555555557
6570,610,2022-04-21,42100173,Final,1610612762,1610612742,2021,1610612762,118.0,0.565,0.939,0.321,20.0,32.0,1610612742,126.0,0.494,0.839,0.429,24.0,32.0,0,25,5,11.666666666666657,-2.833333333333343,-4.200000000000003,-1.2000000000000028
6569,611,2022-04-21,42100163,Final,1610612743,1610612744,2021,1610612743,113.0,0.5,0.815,0.423,25.0,44.0,1610612744,118.0,0.554,0.643,0.45,29.0,30.0,0,6,7,6.0,0.0,9.631578947368425,-0.7573099415204609
6568,612,2022-04-20,42100112,Final,1610612738,1610612751,2021,1610612738,114.0,0.52,0.806,0.355,27.0,36.0,1610612751,107.0,0.461,0.794,0.476,16.0,36.0,1,1,14,8.63636363636364,-0.030303030303031164,13.5,5.5
6567,613,2022-04-20,42100133,Final,1610612761,1610612755,2021,1610612761,101.0,0.442,0.667,0.371,23.0,32.0,1610612755,104.0,0.514,0.75,0.419,18.0,46.0,0,24,18,-3.6666666666666714,-0.6666666666666714,-4.555555555555557,1.9444444444444429
6566,614,2022-04-20,42100122,Final,1610612749,1610612741,2021,1610612749,110.0,0.463,0.645,0.389,27.0,44.0,1610612741,114.0,0.494,0.933,0.48,25.0,43.0,0,12,4,-2.4000000000000057,1.48888888888888,-10.0,11.5
6565,615,2022-04-19,42100102,Final,1610612748,1610612737,2021,1610612748,115.0,0.481,0.862,0.389,21.0,34.0,1610612737,105.0,0.471,0.786,0.3,21.0,40.0,1,11,0,-3.875,-0.875,-4.0,-9.0
