,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,Mejores_FGM_Home,Mejores_FG3M_Home,Mejores_AST_Home,Mejores_REB_Home,Mejores_STL_Home,Mejores_FGM_Away,Mejores_FG3M_Away,Mejores_AST_Away,Mejores_REB_Away,Mejores_STL_Away,Basket_Average_Home,Dif_Home,Puntos_Home,Puntos_Encestados_Home,Victorias_Home,Derrotas_Home,Basket_Average_Away,Dif_Away,Puntos_Away,Puntos_Encestados_Away,Victorias_Away,Derrotas_Away
473,473,2022-10-19,22200013,Final,1610612756,1610612742,2022,1610612756,107.0,0.471,0.864,0.364,25.0,40.0,1610612742,105.0,0.467,0.618,0.4,17.0,40.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333286,-0.6666666666666714,4.0,109.33333333333333,1.0,2.0,3.6666666666666714,5.166666666666671,5.0,106.0,2.0,1.0
472,472,2022-10-19,22200012,Final,1610612762,1610612743,2022,1610612762,123.0,0.506,0.742,0.421,27.0,43.0,1610612743,102.0,0.482,0.944,0.227,21.0,35.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-9.0,-1.6666666666666572,5.0,101.25,1.0,3.0,-1.7999999999999972,2.200000000000003,8.0,113.2,3.0,2.0
471,471,2022-10-19,22200011,Final,1610612759,1610612766,2022,1610612759,102.0,0.404,0.714,0.206,22.0,44.0,1610612766,129.0,0.511,0.87,0.448,26.0,51.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-10.799999999999997,1.2000000000000028,6.0,103.0,1.0,4.0,-17.799999999999997,3.200000000000003,5.0,98.8,0.0,5.0
470,470,2022-10-19,22200010,Final,1610612750,1610612760,2022,1610612750,115.0,0.415,0.818,0.263,25.0,55.0,1610612760,108.0,0.384,0.818,0.311,22.0,57.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.3999999999999915,-3.6000000000000085,9.0,114.8,4.0,1.0,7.75,-0.5833333333333428,7.0,110.25,3.0,1.0
469,469,2022-10-19,22200009,Final,1610612763,1610612752,2022,1610612763,115.0,0.389,0.609,0.34,27.0,64.0,1610612752,112.0,0.404,0.833,0.243,28.0,54.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,8.0,111.0,3.0,2.0,11.25,1.5833333333333286,7.0,113.25,3.0,1.0
468,468,2022-10-19,22200008,Final,1610612761,1610612739,2022,1610612761,108.0,0.419,0.719,0.433,19.0,41.0,1610612739,105.0,0.494,0.826,0.357,25.0,38.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5999999999999943,0.3499999999999943,8.0,114.8,3.0,2.0,-4.25,-0.5833333333333428,5.0,105.5,1.0,3.0
467,467,2022-10-19,22200007,Final,1610612748,1610612741,2022,1610612748,108.0,0.463,0.786,0.429,21.0,46.0,1610612741,116.0,0.441,0.75,0.361,23.0,46.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.399999999999991,1.8999999999999915,9.0,113.8,4.0,1.0,13.5,3.166666666666657,7.0,124.5,3.0,1.0
466,466,2022-10-19,22200006,Final,1610612751,1610612740,2022,1610612751,108.0,0.449,0.75,0.303,22.0,39.0,1610612740,130.0,0.49,0.72,0.462,31.0,61.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,5.666666666666671,6.0,101.75,2.0,2.0,3.200000000000003,1.4500000000000028,9.0,114.0,4.0,1.0
465,465,2022-10-19,22200005,Final,1610612737,1610612745,2022,1610612737,117.0,0.5,0.833,0.28,30.0,38.0,1610612745,107.0,0.429,0.933,0.257,25.0,54.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.3333333333333286,6.0,112.75,2.0,2.0,13.5,-1.8333333333333286,7.0,120.5,3.0,1.0
464,464,2022-10-19,22200004,Final,1610612754,1610612764,2022,1610612754,107.0,0.402,0.667,0.357,21.0,42.0,1610612764,114.0,0.457,0.792,0.355,21.0,53.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,-3.4166666666666714,6.0,114.75,2.0,2.0,-6.25,-3.25,5.0,96.75,1.0,3.0
463,463,2022-10-19,22200003,Final,1610612765,1610612753,2022,1610612765,113.0,0.426,0.792,0.368,31.0,41.0,1610612753,109.0,0.488,0.737,0.367,21.0,48.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.5,-0.1666666666666714,4.0,101.75,0.0,4.0,1.2000000000000028,1.2000000000000028,9.0,106.4,4.0,1.0
462,462,2022-10-20,22200016,Final,1610612747,1610612746,2022,1610612747,97.0,0.351,0.846,0.2,23.0,38.0,1610612746,103.0,0.463,0.645,0.31,18.0,58.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-16.0,0.3333333333333286,8.0,103.0,1.0,6.0,-2.6666666666666714,-4.166666666666671,4.0,111.33333333333333,1.0,2.0
461,461,2022-10-20,22200015,Final,1610612755,1610612749,2022,1610612755,88.0,0.434,0.846,0.208,17.0,44.0,1610612749,90.0,0.405,0.643,0.31,24.0,48.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3999999999999915,-3.8500000000000085,9.0,113.8,4.0,1.0,-11.400000000000006,0.3499999999999943,5.0,105.0,0.0,5.0
460,460,2022-10-21,22200027,Final,1610612757,1610612756,2022,1610612757,113.0,0.439,0.861,0.345,14.0,48.0,1610612756,111.0,0.457,0.714,0.37,31.0,41.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-16.0,5.75,6.0,101.0,1.0,4.0,0.75,0.4166666666666714,6.0,108.75,2.0,2.0
459,459,2022-10-21,22200026,Final,1610612744,1610612743,2022,1610612744,123.0,0.477,0.889,0.341,34.0,35.0,1610612743,128.0,0.535,0.84,0.441,30.0,41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.166666666666671,0.9666666666666686,10.0,114.5,4.0,2.0,-5.0,-3.200000000000003,9.0,111.33333333333333,3.0,3.0
458,458,2022-10-21,22200025,Final,1610612750,1610612762,2022,1610612750,126.0,0.458,0.739,0.333,20.0,60.0,1610612762,132.0,0.441,0.667,0.4,39.0,54.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.833333333333329,0.4333333333333371,11.0,114.83333333333333,5.0,1.0,-3.0,6.0,7.0,105.6,2.0,3.0
457,457,2022-10-21,22200024,Final,1610612745,1610612763,2022,1610612745,122.0,0.473,0.6,0.457,18.0,45.0,1610612763,129.0,0.459,0.69,0.452,26.0,50.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,8.799999999999997,-4.700000000000003,8.0,117.8,3.0,2.0,4.666666666666671,-0.3333333333333286,10.0,111.66666666666667,4.0,2.0
456,456,2022-10-21,22200023,Final,1610612752,1610612765,2022,1610612752,130.0,0.526,0.636,0.421,29.0,50.0,1610612765,106.0,0.433,0.594,0.25,26.0,49.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.400000000000006,-2.8499999999999943,8.0,113.0,3.0,2.0,-10.799999999999997,3.700000000000003,6.0,104.0,1.0,4.0
