ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Pospisil V.,Kohlschreiber P.,94,75,642,729,7,6,7,5,7,6,,,,,3,0,Completed,1.61,2.3,1.74,2.23,1.74,2.3,1.67,2.21
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Wolf J.J.,Pella G.,138,36,402,1310,6,2,0,6,6,3,6,3,,,3,1,Completed,1.57,2.37,1.66,2.37,1.66,2.45,1.59,2.35
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Carballes Baena R.,Lopez F.,101,57,614,908,3,6,7,6,6,4,6,3,,,3,1,Completed,2.75,1.44,2.86,1.48,2.96,1.48,2.79,1.44
19,New York,US Open,01/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Bautista Agut R.,Sandgren T.,11,48,2540,1013,6,4,6,4,7,6,,,,,3,0,Completed,1.16,5,1.2,5.3,1.2,7.1,1.16,5.18
19,New York,US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Kecmanovic M.,Mager G.,47,80,1028,711,6,4,6,4,6,7,3,6,6,2,3,2,Completed,1.16,5,1.2,5.23,1.22,5.8,1.18,4.94
19,New York,US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Raonic M.,Mayer L.,18,120,1950,464,6,3,6,2,6,3,,,,,3,0,Completed,1.05,11,1.04,16.99,1.06,17.5,1.04,12.17
19,New York,US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Moutet C.,Vesely J.,77,67,722,785,6,4,6,4,7,5,,,,,3,0,Completed,1.72,2.1,1.72,2.25,1.8,2.33,1.67,2.2
19,New York,US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Paul T.,20,58,1885,894,6,4,6,3,6,1,,,,,3,0,Completed,1.53,2.5,1.57,2.57,1.59,2.7,1.55,2.45
19,New York,US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Djere L.,116,81,498,705,4,6,6,4,7,6,6,4,,,3,1,Completed,1.57,2.37,1.71,2.27,1.73,2.44,1.63,2.29
19,New York,US Open,02/09/2020,Grand Slam,Outdoor,Hard,1st Round,5,Fucsovics M.,Dellien H.,66,97,787,638,6,3,6,3,6,1,,,,,3,0,Completed,1.05,11,1.04,14.89,1.06,15,1.04,12.18
